FFT0,FFT1,FFT2,FFT3,FFT4,BEAT
21,2,1,0,0,0
16,10,0,0,0,0
75,27,0,0,0,0
22,2,0,0,0,0
77,27,0,0,3,0
0,0,0,1,3,0
0,0,0,1,3,0
0,0,0,0,9,0
0,0,0,0,11,0
0,0,0,0,5,1
0,0,0,0,0,0
5,4,0,0,0,0
84,34,0,0,0,0
0,29,3,0,0,0
50,22,0,0,0,0
49,19,0,0,1,0
0,0,0,6,0,0
0,0,0,8,0,0
0,0,0,4,0,0
0,0,0,0,0,1
0,0,0,0,0,0
0,0,2,0,0,0
3,0,3,0,0,0
63,20,0,0,0,0
80,26,2,0,0,0
17,31,6,0,0,0
33,10,0,0,0,0
0,0,2,0,2,0
0,0,0,2,0,0
0,0,0,2,0,0
0,0,0,8,0,0
0,0,0,1,5,0
0,0,0,0,0,0
23,4,0,0,0,0
46,12,0,0,0,0
54,20,0,0,2,0
0,15,0,4,5,0
0,11,0,7,4,0
0,0,4,0,1,0
0,0,9,15,8,0
22,5,3,6,4,0
0,0,13,0,0,0
10,0,7,0,1,0
24,2,0,0,0,0
12,0,1,0,0,0
0,0,2,2,1,0
42,12,4,0,0,0
0,0,0,0,0,0
36,10,0,0,0,0
0,0,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
15,8,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,4,0,0,0
0,2,9,3,3,0
0,0,10,1,0,0
0,0,4,1,2,0
11,2,4,13,11,0
3,7,8,9,12,0
0,7,14,8,16,0
0,0,10,6,12,0
59,14,6,2,4,0
9,7,2,11,5,0
59,4,3,2,3,0
55,39,8,0,0,0
75,30,0,2,3,0
0,0,0,34,14,0
23,21,0,14,5,0
86,29,0,11,8,0
107,41,0,4,9,0
9,8,0,7,9,0
56,20,0,6,8,0
0,15,0,0,0,0
0,0,0,0,0,0
51,16,0,0,0,0
74,34,0,0,0,0
4,0,0,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
23,8,0,0,0,0
41,11,0,0,0,0
59,24,0,0,0,0
0,0,0,3,5,0
7,0,1,0,0,0
0,0,3,0,0,0
13,2,0,0,0,0
24,2,0,5,0,0
43,24,0,0,0,0
0,0,0,0,0,0
0,0,2,0,0,0
11,8,0,8,2,0
17,6,0,2,5,0
42,19,0,0,5,0
21,19,11,6,6,0
0,0,7,0,0,0
0,0,20,0,0,0
80,49,9,0,0,0
5,0,3,0,0,0
25,5,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
34,11,0,0,0,0
28,26,0,2,5,0
0,4,1,0,2,0
20,0,0,8,1,0
0,0,0,0,0,0
0,0,7,1,0,0
30,6,1,3,3,0
14,0,8,11,6,0
6,0,9,3,4,0
